"DRUN","H","H2","H2O","H2O2","HO2","N2","O","O2","OH","PRUN","RRTE_H","RRTE_H2","RRTE_H2O","RRTE_H2O2","RRTE_HO2","RRTE_N2","RRTE_O","RRTE_O2","RRTE_OH","TRUN","URUN","VRUN","WRUN","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1525137158,3.874103395e-05,0.0002371215766,0.175060076,2.115225131e-06,6.796958756e-06,0.8656117968,0.0009217982995,0.06855961844,0.003914786967,100000.0938,-0.05836776379,-0.170410043,2.53036788,-0.001296516906,-0.003032391243,0,-0.5568305891,-0.8529283665,-0.8875021269,1824.331238,5.036716137,0,0,1,0.002889999887,0.002889999887,0,0
0.1524825123,3.833796863e-05,0.0002355545032,0.1750871472,2.100031277e-06,6.76051584e-06,0.8656137204,0.0009155533049,0.06855038287,0.003903939925,100000.0938,-0.05738909149,-0.1684354562,2.501293814,-0.001280040221,-0.003002356053,0,-0.5503369457,-0.8380277697,-0.8828221351,1824.743974,5.037726425,0,0,1,0.002899999963,0.002899999963,0,0
0.1524516899,3.794087392e-05,0.000234003999,0.1751139248,2.085022205e-06,6.724421631e-06,0.8656156268,0.0009093774292,0.06854129838,0.00389315101,100000.0938,-0.05643124991,-0.1664909802,2.472687143,-0.001263855426,-0.002972740729,0,-0.5439464927,-0.8234236988,-0.8781580892,1825.151829,5.038724797,0,0,1,0.002910000039,0.002910000039,0,0
0.1524212507,3.75496383e-05,0.0002324698401,0.1751404296,2.070194943e-06,6.688671856e-06,0.8656175332,0.0009032696672,0.06853237562,0.003882420121,100000.0938,-0.05549371362,-0.1645760737,2.44453827,-0.001247955993,-0.002943537806,0,-0.5376571116,-0.8091093056,-0.8735106044,1825.5548,5.039711104,0,0,1,0.002919999883,0.002919999883,0,0
0.1523911978,3.716413209e-05,0.0002309517434,0.1751666417,2.055545751e-06,6.653260041e-06,0.86561938,0.0008972287712,0.06852359843,0.003871746338,100000.0938,-0.05457592031,-0.1626901101,2.416836891,-0.001232334981,-0.002914737755,0,-0.5314666059,-0.79507722,-0.8688800737,1825.953024,5.040685525,0,0,1,0.002929999959,0.002929999959,0,0
0.152361507,3.678426581e-05,0.0002294495428,0.1751925811,2.041072395e-06,6.618183243e-06,0.8656211847,0.0008912539118,0.06851497332,0.003861129949,100000.0938,-0.05367740456,-0.1608326441,2.389575068,-0.001216986751,-0.002886334382,0,-0.5253731995,-0.7813213623,-0.8642671748,1826.346572,5.041648161,0,0,1,0.002940000035,0.002940000035,0,0
0.1523321842,3.640993026e-05,0.0002279629936,0.1752182418,2.026771551e-06,6.583436842e-06,0.8656229719,0.0008853441473,0.06850649406,0.003850570522,100000.0938,-0.05279766541,-0.1590031107,2.362743477,-0.001201905053,-0.002858319701,0,-0.5193749083,-0.7678351875,-0.8596724402,1826.735448,5.042599218,0,0,1,0.002949999878,0.002949999878,0,0
0.1523032224,3.604100893e-05,0.0002264918451,0.1752436413,2.012640069e-06,6.549015123e-06,0.8656247592,0.0008794982652,0.06849816128,0.003840067466,100000.0883,-0.05193619803,-0.1572009511,2.336332775,-0.001187083477,-0.00283068586,0,-0.513469709,-0.7546120464,-0.8550961242,1827.119856,5.043539342,0,0,1,0.002959999954,0.002959999954,0,0
0.1522746076,3.56774114e-05,0.0002250359287,0.175268777,1.99867552e-06,6.51491537e-06,0.8656264868,0.0008737154796,0.06848996474,0.003829620746,100000.0859,-0.05109257075,-0.1554257148,2.310335176,-0.001172516877,-0.002803426335,0,-0.5076558603,-0.7416462221,-0.8505388241,1827.499714,5.044468361,0,0,1,0.00297000003,0.00297000003,0,0
0.1522463461,3.531904288e-05,0.0002235950294,0.1752936444,1.984875308e-06,6.481133806e-06,0.8656282145,0.0008679950125,0.06848190753,0.003819230253,100000.0859,-0.05026634127,-0.1536769309,2.284742746,-0.001158199591,-0.002776534628,0,-0.5019317479,-0.7289319192,-0.8460010584,1827.875297,5.045386074,0,0,1,0.002979999874,0.002979999874,0,0
0.1522184307,3.496579364e-05,0.0002221688969,0.1753182698,1.971236136e-06,6.447664688e-06,0.8656299003,0.0008623356254,0.06847398632,0.003808895342,100000.0859,-0.04945704656,-0.151954035,2.259546405,-0.001144125801,-0.0027500027,0,-0.4962953122,-0.7164629037,-0.8414829803,1828.246498,5.046293186,0,0,1,0.00298999995,0.00298999995,0,0
0.1521908389,3.461758331e-05,0.0002207573845,0.1753426312,1.957756007e-06,6.414505123e-06,0.8656315684,0.000856736695,0.06846619923,0.003798615864,100000.0859,-0.04866429039,-0.1502566342,2.234739275,-0.001130290521,-0.002723825262,0,-0.4907451112,-0.7042340605,-0.8369850904,1828.613389,5.047189804,0,0,1,0.003000000026,0.003000000026,0,0
0.1521635792,3.42743129e-05,0.0002193602853,0.1753667499,1.94443204e-06,6.381651294e-06,0.8656332365,0.0008511973126,0.06845854615,0.003788391745,100000.0859,-0.04788765935,-0.1485842506,2.210313517,-0.001116688699,-0.002697995314,0,-0.4852793728,-0.6922398155,-0.8325077983,1828.976168,5.048076269,0,0,1,0.003009999869,0.003009999869,0,0
0.1521366359,3.393588607e-05,0.0002179773335,0.175390616,1.931261498e-06,6.349097991e-06,0.865634845,0.0008457163643,0.06845101423,0.003778222189,100000.0859,-0.04712673376,-0.1469363789,2.18626102,-0.00110331466,-0.002672505967,0,-0.4798963685,-0.6804744961,-0.8280511892,1829.334858,5.048952418,0,0,1,0.003019999946,0.003019999946,0,0
0.1521100202,3.360221896e-05,0.0002166083933,0.1754142439,1.918242059e-06,6.316842034e-06,0.8656364535,0.0008402932245,0.0684436163,0.003768107062,100000.0859,-0.04638114282,-0.1453126061,2.162574812,-0.001090163995,-0.002647351784,0,-0.4745946107,-0.6689331889,-0.8236156831,1829.689438,5.049818418,0,0,1,0.003030000022,0.003030000022,0,0
0.1520837134,3.327323795e-05,0.0002152533167,0.175437633,1.90537183e-06,6.284880936e-06,0.8656380205,0.0008349271834,0.06843633542,0.003758046436,100000.0859,-0.04565053544,-0.1437125652,2.139248454,-0.001077232257,-0.002622527398,0,-0.4693726797,-0.6576112176,-0.8192017529,1830.040069,5.050674534,0,0,1,0.003039999865,0.003039999865,0,0
0.1520577229,3.294883729e-05,0.0002139118079,0.1754607845,1.892647533e-06,6.253208806e-06,0.8656395695,0.0008296170431,0.06842917566,0.003748039376,100000.0859,-0.0449345041,-0.1421357365,2.116273885,-0.001064513975,-0.002598025398,0,-0.4642287612,-0.6465030368,-0.8148092856,1830.386807,5.051520673,0,0,1,0.003049999941,0.003049999941,0,0
0.152032026,3.262895195e-05,0.0002125837799,0.1754837125,1.880067537e-06,6.221823946e-06,0.865641077,0.0008243623143,0.06842213512,0.003738086209,100000.0859,-0.04423272539,-0.1405817579,2.093645112,-0.001052005329,-0.002573841372,0,-0.4591616383,-0.6356043477,-0.810438807,1830.729638,5.052357456,0,0,1,0.003060000017,0.003060000017,0,0
0.1520066316,3.231349564e-05,0.0002112690167,0.175506402,1.867629329e-06,6.190722113e-06,0.8656425664,0.0008191621968,0.06841521371,0.003728186214,100000.0781,-0.04354485313,-0.1390502231,2.071355326,-0.001039701699,-0.002549969348,0,-0.4541697654,-0.6249103839,-0.806090432,1831.068648,5.053184853,0,0,1,0.003069999861,0.003069999861,0,0
0.151981524,3.200238005e-05,0.0002099673189,0.1755288792,1.855330351e-06,6.159898913e-06,0.8656440558,0.0008140156972,0.06840840607,0.003718339022,100000.0781,-0.04287053308,-0.1375406843,2.049397447,-0.001027598426,-0.002526403261,0,-0.4492516236,-0.6144163843,-0.8017642487,1831.404008,5.054003071,0,0,1,0.003079999937,0.003079999937,0,0
